DATE;OPEN;HIGH;LOW;CLOSE
20070101;1,32;1,3213;1,3172;1,32
20070102;1,3196;1,33;1,3191;1,328
20070103;1,3276;1,3295;1,3143;1,3166
20070104;1,3167;1,3186;1,3073;1,3085
20070105;1,3082;1,311;1,2978;1,3008
20070106;1,3;1,3013;1,2999;1,3004
20070108;1,3012;1,304;1,297;1,3023
20070109;1,3016;1,3057;1,2983;1,3001
20070110;1,2995;1,3009;1,2928;1,294
20070111;1,2936;1,3019;1,2878;1,2893
20070112;1,2891;1,2948;1,2864;1,292
20070113;1,2916;1,2929;1,291;1,2924
20070115;1,2926;1,2961;1,2912;1,2941
20070116;1,2935;1,2993;1,2906;1,2915
20070117;1,2913;1,2955;1,2896;1,2939
20070118;1,2936;1,2982;1,2895;1,2966
20070119;1,2965;1,3005;1,2911;1,2966
20070120;1,2961;1,2972;1,2953;1,2961
20070122;1,2964;1,2984;1,2919;1,295
20070123;1,2946;1,3049;1,2926;1,3026
20070124;1,3024;1,3043;1,2945;1,2962
20070125;1,296;1,3007;1,2913;1,2938
20070126;1,2936;1,2949;1,2875;1,2915
20070127;1,2914;1,2924;1,291;1,2918
20070129;1,2921;1,2971;1,2895;1,2953
20070130;1,295;1,2985;1,2941;1,2967
20070131;1,2963;1,3041;1,2922;1,3033
20070201;1,3034;1,3056;1,3;1,3021
20070202;1,3019;1,3068;1,2947;1,2969
20070203;1,2965;1,2971;1,2958;1,2963
20070205;1,2969;1,2973;1,291;1,2927
20070206;1,293;1,2994;1,2909;1,2984
20070207;1,2978;1,3028;1,2965;1,3014
20070208;1,3009;1,3049;1,2974;1,3042
20070209;1,3039;1,3052;1,2981;1,3007
20070210;1,3004;1,3012;1,3;1,301
20070212;1,2989;1,303;1,2986;1,3022
20070213;1,2984;1,3047;1,2981;1,3035
20070214;1,3038;1,3155;1,3021;1,3131
20070215;1,3126;1,3177;1,3116;1,3146
20070216;1,3144;1,3154;1,3092;1,314
20070217;1,3142;1,3148;1,3134;1,3139
20070219;1,3155;1,3167;1,3119;1,3159
20070220;1,3155;1,3194;1,3127;1,3141
20070221;1,3137;1,317;1,311;1,3141
20070222;1,3136;1,3149;1,3078;1,3125
20070223;1,3123;1,3193;1,3099;1,317
20070224;1,3164;1,3176;1,3163;1,3169
20070227;1,3208;1,3264;1,3199;1,324
20070228;1,3234;1,3253;1,3177;1,3237
20070301;1,3231;1,3246;1,3153;1,3188
20070302;1,3182;1,3206;1,314;1,3193
20070303;1,3191;1,3198;1,3188;1,3194
20070305;1,3205;1,3217;1,307;1,3097
20070306;1,3102;1,3136;1,3077;1,3127
20070307;1,3122;1,319;1,3105;1,3183
20070308;1,318;1,3189;1,3113;1,3137
20070309;1,3135;1,3166;1,3083;1,3115
20070310;1,3114;1,312;1,3108;1,3118
20070312;1,314;1,3205;1,3105;1,3192
20070313;1,3188;1,3226;1,3153;1,32
20070314;1,3195;1,325;1,3174;1,3227
20070315;1,3224;1,3255;1,3191;1,3239
20070316;1,3238;1,3346;1,3228;1,332
20070319;1,3314;1,333;1,3277;1,3306
20070320;1,3301;1,3327;1,3268;1,3322
20070321;1,332;1,3396;1,3285;1,3392
20070322;1,3382;1,3416;1,3307;1,3335
20070323;1,3331;1,3346;1,3278;1,3285
20070324;1,3282;1,3285;1,3282;1,3285
20070326;1,3283;1,3352;1,3251;1,3331
20070327;1,3328;1,3369;1,3319;1,3353
20070328;1,335;1,3378;1,3305;1,3315
20070329;1,3312;1,3359;1,3299;1,3337
20070330;1,3333;1,3405;1,3285;1,3361
20070331;1,3357;1,3365;1,335;1,3357
20070402;1,3374;1,3388;1,3329;1,3369
20070403;1,3366;1,338;1,3317;1,3335
20070404;1,3328;1,3385;1,3316;1,3375
20070405;1,3372;1,3445;1,335;1,3425
20070406;1,3419;1,3439;1,3361;1,3376
20070407;1,3371;1,3385;1,337;1,338
20070409;1,3374;1,3385;1,3336;1,3363
20070410;1,3358;1,3461;1,3347;1,3437
20070411;1,3433;1,3448;1,3405;1,3432
20070412;1,3428;1,3507;1,3421;1,3487
20070413;1,3486;1,3559;1,3474;1,353
20070414;1,3528;1,3544;1,3525;1,3529
20070416;1,3558;1,3583;1,3536;1,3545
20070417;1,3543;1,3599;1,352;1,3573
20070418;1,3569;1,3621;1,3553;1,3597
20070419;1,3589;1,3625;1,3557;1,3607
20070420;1,3602;1,3642;1,3584;1,3596
20070421;1,3591;1,3605;1,3583;1,3593
20070423;1,3598;1,3613;1,3539;1,3578
20070424;1,3574;1,3641;1,3545;1,3633
20070425;1,3634;1,367;1,3615;1,3639
20070426;1,3635;1,3659;1,3582;1,3606
20070427;1,3602;1,3686;1,3583;1,3652
20070428;1,3649;1,3662;1,3646;1,3655
20070502;1,3576;1,3615;1,3558;1,3596
20070503;1,3591;1,3627;1,3544;1,3558
20070504;1,3554;1,3615;1,353;1,3599
20070505;1,3594;1,3605;1,3587;1,3592
20070507;1,3605;1,3632;1,3587;1,3605
20070508;1,3604;1,3627;1,3513;1,3543
20070509;1,3538;1,3572;1,3517;1,3529
20070510;1,3526;1,3569;1,3462;1,3488
20070511;1,3487;1,3536;1,346;1,3535
20070512;1,3527;1,3537;1,3519;1,3527
20070514;1,3539;1,3564;1,3521;1,3547
20070515;1,3543;1,3614;1,3524;1,3589
20070516;1,3587;1,3615;1,3501;1,3517
20070517;1,3516;1,3548;1,3475;1,3496
20070518;1,3494;1,3526;1,3463;1,3514
20070519;1,3509;1,3518;1,3501;1,3509
20070521;1,3518;1,3534;1,3434;1,3474
20070522;1,3468;1,3482;1,3436;1,3453
20070523;1,3449;1,3505;1,3412;1,3465
20070524;1,3461;1,347;1,3412;1,343
20070525;1,3424;1,3478;1,341;1,3451
20070526;1,3445;1,3457;1,3435;1,3443
20070528;1,345;1,3467;1,3441;1,3457
20070529;1,3452;1,3525;1,3416;1,345
20070530;1,3449;1,3463;1,3403;1,3434
20070531;1,3431;1,3451;1,342;1,3445
20070604;1,3492;1,3506;1,3472;1,3496
20070605;1,3491;1,3559;1,3484;1,352
20070606;1,3519;1,3545;1,3481;1,3509
20070607;1,3506;1,3517;1,3419;1,3433
20070608;1,343;1,3442;1,3318;1,3371
20070609;1,3373;1,3379;1,3364;1,3376
20070611;1,3374;1,3377;1,333;1,3355
20070612;1,3353;1,3375;1,3307;1,3313
20070613;1,3315;1,3321;1,326;1,331
20070614;1,3311;1,3329;1,3276;1,3312
20070615;1,3305;1,3392;1,3302;1,3383
20070616;1,3377;1,3394;1,3375;1,339
20070618;1,3377;1,3425;1,3374;1,3414
20070619;1,3418;1,3441;1,3381;1,343
20070620;1,3424;1,3443;1,3402;1,3408
20070621;1,3406;1,3414;1,337;1,34
20070622;1,3466;1,3473;1,3415;1,3468
20070623;1,3463;1,3476;1,346;1,3471
20070625;1,3467;1,348;1,3436;1,3467
20070626;1,3463;1,3483;1,3429;1,3466
20070627;1,344;1,3454;1,3426;1,3449
20070628;1,3447;1,3486;1,3421;1,3442
20070629;1,3436;1,3546;1,3427;1,3539
20070630;1,3532;1,3547;1,3528;1,3543
20070702;1,3537;1,3643;1,3526;1,3626
20070703;1,3622;1,3642;1,3581;1,3614
20070704;1,3609;1,3636;1,3601;1,3615
20070705;1,361;1,3665;1,3575;1,3601
20070706;1,36;1,3646;1,3565;1,3627
20070707;1,3623;1,3636;1,362;1,3629
20070709;1,3636;1,3643;1,3607;1,3623
20070710;1,3621;1,3745;1,359;1,373
20070711;1,3728;1,379;1,3725;1,3754
20070712;1,3752;1,3799;1,3737;1,3786
20070713;1,3771;1,3818;1,3764;1,3787
20070714;1,3788;1,3792;1,3778;1,3785
20070716;1,3786;1,3808;1,3757;1,378
20070717;1,3776;1,3804;1,3754;1,3784
20070718;1,3782;1,384;1,375;1,3793
20070719;1,3792;1,3836;1,3782;1,38
20070720;1,3797;1,3848;1,3777;1,3827
20070721;1,3826;1,3835;1,3819;1,3829
20070723;1,3837;1,3851;1,3792;1,3801
20070724;1,3799;1,3857;1,3795;1,3818
20070725;1,3815;1,3839;1,3693;1,3717
20070726;1,3714;1,3776;1,369;1,3746
20070727;1,3742;1,376;1,3626;1,3639
20070728;1,3637;1,3646;1,3624;1,364
20070730;1,3664;1,371;1,3656;1,3695
20070731;1,3692;1,3733;1,3677;1,3681
20070801;1,3679;1,3715;1,3635;1,3673
20070802;1,3671;1,371;1,3647;1,3704
20070803;1,3699;1,3823;1,3681;1,3787
20070804;1,3786;1,3791;1,3769;1,3775
20070806;1,3809;1,3845;1,3777;1,3786
20070807;1,3782;1,3821;1,3732;1,3752
20070808;1,3749;1,3831;1,3718;1,3796
20070809;1,3794;1,3822;1,3653;1,3679
20070810;1,3677;1,3711;1,3639;1,3697
20070811;1,3694;1,3708;1,3687;1,3695
20070813;1,3687;1,3715;1,3603;1,3612
20070814;1,3608;1,363;1,3529;1,354
20070815;1,3539;1,3547;1,3444;1,3452
20070816;1,3449;1,3463;1,3358;1,3414
20070817;1,3415;1,355;1,3368;1,3491
20070818;1,3493;1,3497;1,3467;1,3477
20070820;1,3481;1,3513;1,3457;1,3487
20070821;1,3483;1,3526;1,3454;1,3466
20070822;1,3464;1,3555;1,3447;1,3541
20070823;1,3536;1,3593;1,3532;1,3563
20070824;1,356;1,3687;1,355;1,3669
20070825;1,3668;1,3681;1,3658;1,3678
20070827;1,3675;1,3692;1,3631;1,3648
20070828;1,3649;1,3685;1,3598;1,3611
20070829;1,3607;1,368;1,3558;1,3674
20070830;1,3672;1,3685;1,3589;1,3625
20070831;1,3619;1,3725;1,3617;1,3625
20070901;1,3627;1,3635;1,3618;1,3634
20070903;1,3628;1,366;1,3601;1,3625
20070904;1,3627;1,3638;1,3548;1,361
20070905;1,3606;1,3677;1,3565;1,3663
20070906;1,3657;1,3715;1,3632;1,3689
20070907;1,3686;1,3802;1,366;1,377
20070908;1,3768;1,3775;1,3762;1,377
20070910;1,3773;1,3821;1,3764;1,3798
20070911;1,3795;1,3853;1,3775;1,3834
20070912;1,3836;1,3921;1,382;1,3908
20070913;1,3902;1,3932;1,386;1,3887
20070914;1,3883;1,3901;1,3841;1,388
20070915;1,3875;1,3884;1,387;1,3877
20070917;1,3868;1,3893;1,3846;1,3873
20070918;1,3867;1,3982;1,3824;1,3969
20070919;1,3969;1,3989;1,3932;1,3958
20070920;1,3959;1,41;1,3952;1,4067
20070921;1,4064;1,412;1,4039;1,4091
20070922;1,4087;1,4094;1,4081;1,4089
20070923;1,409;1,4094;1,4068;1,4091
20070924;1,4088;1,4131;1,4065;1,4084
20070925;1,4084;1,4154;1,4057;1,4144
20070926;1,4145;1,4163;1,4109;1,4124
20070927;1,4124;1,419;1,412;1,4143
20070928;1,4146;1,4278;1,4143;1,4258
20070929;1,4259;1,4274;1,4255;1,4271
20070930;1,4233;1,4281;1,4233;1,4274
20071001;1,4281;1,4282;1,4208;1,4239
20071002;1,4205;1,4215;1,4136;1,4152
20071003;1,4152;1,4201;1,4084;1,4088
20071004;1,4089;1,4151;1,4064;1,4134
