DATE	OPEN	HIGH	LOW	CLOSE
01.01.07	1,32	1,3213	1,3172	1,32
02.01.07	1,3196	1,33	1,3191	1,328
03.01.07	1,3276	1,3295	1,3143	1,3166
04.01.07	1,3167	1,3186	1,3073	1,3085
05.01.07	1,3082	1,311	1,2978	1,3008
06.01.07	1,3	1,3013	1,2999	1,3004
07.01.07	1,3012	1,304	1,297	1,3023
08.01.07	1,3016	1,3057	1,2983	1,3001
09.01.07	1,2995	1,3009	1,2928	1,294
10.01.07	1,2936	1,3019	1,2878	1,2893
11.01.07	1,2891	1,2948	1,2864	1,292
12.01.07	1,2916	1,2929	1,291	1,2924
13.01.07	1,2926	1,2961	1,2912	1,2941
14.01.07	1,2935	1,2993	1,2906	1,2915
15.01.07	1,2913	1,2955	1,2896	1,2939
16.01.07	1,2936	1,2982	1,2895	1,2966
17.01.07	1,2965	1,3005	1,2911	1,2966
